id,supplier,parentSupplier,zone,country,category,kpiApplicability,invoiceOnTimeCount,totalPoLines,year,month
iot-0,Riedel,Juices Beheer Coöperatief U.A.,EUR,The Netherlands,FINISHED PRODUCTS,Applicable,5,5,2020,5
iot-1,ARVAL BELGIUM,BNP PARIBAS,EUR,Belgium,LOGISTICS,Applicable,0,1,2022,1
iot-2,ARVAL BELGIUM,BNP PARIBAS,EUR,Belgium,LOGISTICS,Applicable,0,3,2022,10
iot-3,REYNDERS ETIKETTEN,Reynco,EUR,France,PACKAGING,Applicable,0,1,2022,12
iot-4,BREUER-ANTOINE,Antoine Invest,EUR,Belgium,LOGISTICS,Applicable,1,1,2022,7
iot-5,BREUER-ANTOINE,Antoine Invest,EUR,Belgium,LOGISTICS,Applicable,1,1,2022,9
iot-6,Stow (UK) ltd.,Optimus Topco S.à r.l.,EUR,United Kingdom,LOGISTICS,Applicable,2,2,2022,9
iot-7,BULLMAN,Goeyens Finances,EUR,Belgium,LOGISTICS,Applicable,0,1,2023,11
iot-8,Sirl Interaktive Logistik GmbH,VENKO Vermögensverwaltung GmbH,EUR,Germany,LOGISTICS,Applicable,0,1,2023,11
iot-9,GREFFE DU TRIBUNAL DE COMMERCE D'AN,COUR D'APPEL D'AIX EN PROVENCE,EUR,France,LEGAL,Applicable,0,2,2023,12
iot-10,TVH EQUIPMENT NV,TVH Equipment,EUR,Belgium,LOGISTICS,Applicable,1,1,2023,2
iot-11,BREUER-ANTOINE,Antoine Invest,EUR,Belgium,LOGISTICS,Applicable,1,1,2023,6
iot-12,O-I Netherlands B.V.,OI GLOBAL,EUR,Belgium,FOLDING CARTONS,Applicable,0,1,2023,7
iot-13,AJINOMOTO OMNICHEM,"AJINOMOTO CO., INC.",EUR,Belgium,OTHER AUXILIARIES,Applicable,1,1,2023,9
iot-14,DLL,SUPERLIFT HOLDING,EUR,Belgium,LOGISTICS,Applicable,21,21,2023,9
iot-15,BULLMAN,Goeyens Finances,EUR,Belgium,LOGISTICS,Applicable,1,2,2024,10
iot-16,Duvenbeck Transport,Logistics Holding B.V.,EUR,Germany,LOGISTICS,Applicable,2,2,2024,10
iot-17,HAFFMANS BV,PENTAIR PUBLIC LIMITED COMPANY,EUR,Germany,LOGISTICS,Applicable,0,1,2024,10
iot-18,HAFFMANS BV,PENTAIR PUBLIC LIMITED COMPANY,EUR,Germany,MAINTENANCE,Applicable,0,1,2024,10
iot-19,PROFIELD SA,ENGUERRAND EBVBA,EUR,Belgium,ENERGY & FLUIDS,Applicable,2,2,2024,10
iot-20,RLBS Ltd,SAMUEL HODGE HOLDINGS LIMITED,EUR,United Kingdom,BEER DISPENSE MATERIALS,Applicable,0,1,2024,10
iot-21,Topcold NV,Tefcold Holding ApS,EUR,Belgium,LOGISTICS,Applicable,6,6,2024,10
iot-22,BLS labeling&logistic service Gmbh,BLS Labeling and Logistic Service GmbH,EUR,Germany,LOGISTICS,Applicable,3,3,2024,11
iot-23,Doktor Cargo GmbH,Doktor Cargo GmbH,EUR,Germany,LOGISTICS,Applicable,3,3,2024,11
iot-24,Duvenbeck Transport,Logistics Holding B.V.,EUR,Germany,LOGISTICS,Applicable,9,9,2024,11
iot-25,GEODIS BM NETHERLANDS BV,AGENCE DES PARTICIPATIONS DE L'ETAT,EUR,Belgium,LOGISTICS,Applicable,1,1,2024,11
iot-26,PROFIELD SA,ENGUERRAND EBVBA,EUR,Belgium,ENERGY & FLUIDS,Applicable,0,2,2024,11
iot-27,Weser-Trans Bremen GmbH,L.I.T. AG,EUR,Germany,LOGISTICS,Applicable,1,1,2024,11
iot-28,BLS labeling&logistic service Gmbh,BLS Labeling and Logistic Service GmbH,EUR,Germany,LOGISTICS,Applicable,1,1,2024,12
iot-29,Doktor Cargo GmbH,Doktor Cargo GmbH,EUR,Germany,LOGISTICS,Applicable,6,6,2024,12
iot-30,Duvenbeck Transport,Logistics Holding B.V.,EUR,Germany,LOGISTICS,Applicable,8,8,2024,12
iot-31,PROFIELD SA,ENGUERRAND EBVBA,EUR,Belgium,ENERGY & FLUIDS,Applicable,0,1,2024,12
iot-32,Weser-Trans Bremen GmbH,L.I.T. AG,EUR,Germany,LOGISTICS,Applicable,1,1,2024,12
iot-33,B & G NEDERLAND BV,B & G NEDERLAND,EUR,The Netherlands,LOGISTICS,Applicable,0,1,2024,3
iot-34,REYNDERS ETIKETTEN,Reynco,EUR,The Netherlands,LABELS,Applicable,1,1,2024,4
iot-35,Duvenbeck Transport,Logistics Holding B.V.,EUR,Germany,LOGISTICS,Applicable,1,1,2024,5
iot-36,LInde MH UK Limited,KION GROUP,EUR,United Kingdom,LOGISTICS,Applicable,0,1,2024,5
iot-37,Duvenbeck Transport,Logistics Holding B.V.,EUR,Germany,LOGISTICS,Applicable,4,4,2024,6
iot-38,Nickel & Goeldner Spedition Gm,Nickel & Goeldner Spedition GmbH,EUR,Germany,LOGISTICS,Applicable,2,2,2024,6
iot-39,Weser-Trans Bremen GmbH,L.I.T. AG,EUR,Germany,LOGISTICS,Applicable,1,1,2024,6
iot-40,Duvenbeck Transport,Logistics Holding B.V.,EUR,Germany,LOGISTICS,Applicable,1,1,2024,7
iot-41,Sirl Interaktive Logistik GmbH,VENKO Vermögensverwaltung GmbH,EUR,Germany,LOGISTICS,Applicable,2,2,2024,7
iot-42,Weser-Trans Bremen GmbH,L.I.T. AG,EUR,Germany,LOGISTICS,Applicable,1,1,2024,7
iot-43,BULLMAN,Goeyens Finances,EUR,Belgium,LOGISTICS,Applicable,1,1,2024,8
iot-44,Duvenbeck Transport,Logistics Holding B.V.,EUR,Germany,LOGISTICS,Applicable,1,1,2024,8
iot-45,Tosca Netherlands BV,Redux Porus Holdings 1 B.V.,EUR,Belgium,PALLETS,Applicable,1,1,2024,8
iot-46,BLS labeling&logistic service Gmbh,BLS Labeling and Logistic Service GmbH,EUR,Germany,LOGISTICS,Applicable,2,2,2024,9
iot-47,CITROEN BELUX NV,PEUGEOT,EUR,Belgium,LOGISTICS,Applicable,1,1,2024,9
iot-48,Duvenbeck Transport,Logistics Holding B.V.,EUR,Germany,LOGISTICS,Applicable,1,1,2024,9
iot-49,Nickel & Goeldner Spedition Gm,Nickel & Goeldner Spedition GmbH,EUR,Germany,LOGISTICS,Applicable,1,1,2024,9
iot-50,PROFIELD SA,ENGUERRAND EBVBA,EUR,Belgium,ENERGY & FLUIDS,Applicable,0,2,2024,9
iot-51,Sirl Interaktive Logistik GmbH,VENKO Vermögensverwaltung GmbH,EUR,Germany,LOGISTICS,Applicable,1,1,2024,9
iot-52,Topcold NV,Tefcold Holding ApS,EUR,Belgium,LOGISTICS,Applicable,3,3,2024,9
iot-53,ABBAYE DE VAL DIEU,Brasserie de l'Abbaye du Val-Dieu,EUR,Belgium,FINISHED PRODUCTS,Applicable,0,5,2025,1
iot-54,ARDAGH GLASS LTD,ARDAGH GROUP,EUR,United Kingdom,BOTTLES,Applicable,11,11,2025,1
iot-55,BLS labeling&logistic service Gmbh,BLS Labeling and Logistic Service GmbH,EUR,Germany,LOGISTICS,Applicable,2,2,2025,1
iot-56,BOC Limited,LINDE PUBLIC LIMITED COMPANY,EUR,United Kingdom,ENERGY & FLUIDS,Applicable,0,1,2025,1
iot-57,BROUWERIJ OMER VANDER GHINSTE,Panta,EUR,Belgium,FINISHED PRODUCTS,Applicable,7,7,2025,1
iot-58,BarthHaas GmbH,BarthHaas GmbH & Co. KG,EUR,United Kingdom,HOPS,Applicable,2,2,2025,1
iot-59,Biffa Waste Services,"ECP Bears Holdings, LP",EUR,United Kingdom,LOGISTICS,Applicable,4,4,2025,1
iot-60,Caldic BENELUX NV,Caldic Holdings B.V.,EUR,Belgium,AUXILIARY MATERIALS,Applicable,0,1,2025,1
iot-61,Chemical Corporation UK Ltd,CC HOLDINGS LIMITED,EUR,United Kingdom,LOGISTICS,Applicable,3,3,2025,1
iot-62,Coca-Cola Europacific Partners Nede,The Coca-Cola Company,EUR,The Netherlands,CORRUGATED BOARD,Applicable,3,3,2025,1
iot-63,Coca-Cola Europacific Partners Nede,The Coca-Cola Company,EUR,The Netherlands,PALLETS,Applicable,5,5,2025,1
iot-64,DIAGEO NEDERLAND BV,DIAGEO PLC,EUR,The Netherlands,FINISHED PRODUCTS,Applicable,10,10,2025,1
iot-65,Doktor Cargo GmbH,Doktor Cargo GmbH,EUR,Germany,LOGISTICS,Applicable,1,1,2025,1
iot-66,GARAGE VANHOECKE,Imacar,EUR,Belgium,LOGISTICS,Applicable,0,1,2025,1
iot-67,GPI United Kingdom - BRISTOL,GPI Holding,EUR,United Kingdom,MAINTENANCE,Applicable,0,1,2025,1
iot-68,John Martin SA,Holmar,EUR,Belgium,FINISHED PRODUCTS,Applicable,0,3,2025,1
iot-69,Jost & Cie SA,PREINVESTMENT HOLDING S.A.,EUR,Belgium,LOGISTICS,Applicable,1,1,2025,1
iot-70,MURPHY & SON LTD,MURPHY & SON INTERNATIONAL LIMITED,EUR,Belgium,AUXILIARY MATERIALS,Applicable,0,1,2025,1
iot-71,NABUURS R.D.C. BV,Stichting Administratiekantoor Nabuurs,EUR,The Netherlands,LOGISTICS,Applicable,113,337,2025,1
iot-72,NEDERLANDSE KOOLZUUR CENTRALE,Damoiseaux Beheer B.V.,EUR,The Netherlands,OTHER PACKAGING,Applicable,1,1,2025,1
iot-73,NEDERLANDSE KOOLZUUR CENTRALE,Damoiseaux Beheer B.V.,EUR,The Netherlands,PALLETS,Applicable,2,2,2025,1
iot-74,Nickel & Goeldner Spedition Gm,Nickel & Goeldner Spedition GmbH,EUR,Germany,LOGISTICS,Applicable,1,1,2025,1
iot-75,Rubix U.K. Limited,"Advent International, L.P.",EUR,United Kingdom,LOGISTICS,Applicable,1,1,2025,1
iot-76,SLH Getränke,Drinkport KG.,EUR,Germany,FINISHED PRODUCTS,Applicable,2,2,2025,1
iot-77,STILL,KION GROUP AG,EUR,Belgium,LOGISTICS,Applicable,0,1,2025,1
iot-78,Spadel Nederland B.V.,Gerefis,EUR,The Netherlands,CORRUGATED BOARD,Applicable,2,2,2025,1
iot-79,UNILEVER NEDERLAND BV,UNILEVER PLC,EUR,The Netherlands,PALLETS,Applicable,1,1,2025,1
iot-80,VRUMONA BV,Royal Unibrew A/S,EUR,The Netherlands,CORRUGATED BOARD,Applicable,3,3,2025,1
iot-81,VRUMONA BV,Royal Unibrew A/S,EUR,The Netherlands,PALLETS,Applicable,2,2,2025,1
iot-82,A & C Plastic Kunstoff,Alimex GmbH,EUR,Belgium,OTHER PACKAGING,Applicable,1,1,2025,10
iot-83,A & C Plastic Kunstoff,Alimex GmbH,EUR,Germany,FILMS,Applicable,11,11,2025,10
iot-84,A.B.M. (atelier belge de la,RICHEMON GROUP INTERNATIONAL II,EUR,Belgium,MAINTENANCE,Applicable,0,1,2025,10
iot-85,A.C. Nielsen of Ireland Limited,AI PAVE Dutchco I B.V.,EUR,Ireland,CUSTOMERS,Applicable,1,3,2025,10
iot-86,AANNEMERSBEDRIJF VAN RIJSWIJCK B.V.,Stichting Administratiekantoor Van Rijswijck Groep,EUR,The Netherlands,MAINTENANCE,Applicable,1,1,2025,10
iot-87,AB Blåkläder Belgium,AB Blåkläder,EUR,Belgium,LABELS,Applicable,2,3,2025,10
iot-88,AB Blåkläder Belgium,AB Blåkläder,EUR,Belgium,LOGISTICS,Applicable,1,2,2025,10
iot-89,AB Blåkläder Belgium,AB Blåkläder,EUR,Belgium,OFFICE UTILITIES,Applicable,2,3,2025,10
iot-90,AB Blåkläder Belgium,AB Blåkläder,EUR,Belgium,TRAVEL,Applicable,2,8,2025,10
iot-91,AB Blåkläder Belgium,AB Blåkläder,EUR,Belgium,WORKING AND SAFETY MATERIALS,Applicable,37,54,2025,10
iot-92,AB Blåkläder Belgium,AB Blåkläder,EUR,Germany,TRAVEL,Applicable,4,4,2025,10
iot-93,AB Blåkläder Belgium,AB Blåkläder,EUR,Germany,WORKING AND SAFETY MATERIALS,Applicable,5,5,2025,10
iot-94,AB Blåkläder Belgium,AB Blåkläder,EUR,Luxembourg,LOGISTICS,Applicable,1,1,2025,10
iot-95,AB Blåkläder Belgium,AB Blåkläder,EUR,Luxembourg,WORKING AND SAFETY MATERIALS,Applicable,5,5,2025,10
iot-96,AB Blåkläder Belgium,AB Blåkläder,EUR,The Netherlands,TRAVEL,Applicable,2,2,2025,10
iot-97,AB Blåkläder Belgium,AB Blåkläder,EUR,The Netherlands,WORKING AND SAFETY MATERIALS,Applicable,4,4,2025,10
iot-98,ABB,ABB Ltd,EUR,Belgium,MAINTENANCE,Applicable,0,1,2025,10
iot-99,ABBAYE DE VAL DIEU,Brasserie de l'Abbaye du Val-Dieu,EUR,Belgium,CORRUGATED BOARD,Applicable,2,3,2025,10
iot-100,ABBAYE DE VAL DIEU,Brasserie de l'Abbaye du Val-Dieu,EUR,Belgium,FINISHED PRODUCTS,Applicable,14,17,2025,10
iot-101,ABBAYE DE VAL DIEU,Brasserie de l'Abbaye du Val-Dieu,EUR,Belgium,KEGS,Applicable,2,3,2025,10
iot-102,ABC Industrial Parts,ABC INDUSTRIAL PARTS,EUR,Belgium,MAINTENANCE,Applicable,1,1,2025,10
iot-103,ABTS,WPEF IX Holdco 3 B.V.,EUR,Belgium,CORRUGATED BOARD,Applicable,0,2,2025,10
iot-104,ABTS,WPEF IX Holdco 3 B.V.,EUR,Belgium,FINISHED PRODUCTS,Applicable,15,46,2025,10
iot-105,ABTS,WPEF IX Holdco 3 B.V.,EUR,Belgium,PALLETS,Applicable,2,6,2025,10
iot-106,ACALIN SA,Sancofa,EUR,Belgium,MAINTENANCE,Applicable,0,7,2025,10
iot-107,ACARDO GROUP AG,ACARDO GROUP,EUR,Germany,MARKETING,Applicable,4,4,2025,10
iot-108,ACHELSE KLUIS,Drigima,EUR,Belgium,FINISHED PRODUCTS,Applicable,2,2,2025,10
iot-109,ACMI SPA,OMNIA TECHNOLOGIES HOLDING SPA,EUR,Belgium,MAINTENANCE,Applicable,5,5,2025,10
iot-110,ACTEMIUM,VINCI,EUR,Belgium,MAINTENANCE,Applicable,2,2,2025,10
iot-111,ADM GROUP BV,Adm Invest,EUR,Belgium,CUSTOMERS,Applicable,10,10,2025,10
iot-112,ADM PROMOTIONS SPAIN SLU (DE),ADM GROUP,EUR,Austria,SALES,Applicable,0,2,2025,10
iot-113,ADM PROMOTIONS SPAIN SLU (DE),ADM GROUP,EUR,Germany,MARKETING,Applicable,0,1,2025,10
iot-114,ADM PROMOTIONS SPAIN SLU (DE),ADM GROUP,EUR,Germany,SALES,Applicable,8,8,2025,10
iot-115,ADM Promotions Spain SLU (NL VAT),ADM GROUP,EUR,Belgium,MARKETING,Applicable,3,3,2025,10
iot-116,ADM Promotions Spain SLU (NL VAT),ADM GROUP,EUR,Belgium,SALES,Applicable,1,1,2025,10
iot-117,ADM Promotions Spain SLU (NL VAT),ADM GROUP,EUR,Switzerland,BEER DISPENSE MATERIALS,Applicable,0,1,2025,10
iot-118,ADM Promotions Spain SLU (NL VAT),ADM GROUP,EUR,Switzerland,SALES,Applicable,0,10,2025,10
iot-119,ADM Promotions UK Limited,ADM GROUP,EUR,United Kingdom,MARKETING,Applicable,1,1,2025,10
iot-120,ADM Promotions UK Limited,ADM GROUP,EUR,United Kingdom,SALES,Applicable,51,73,2025,10
iot-121,AED PARTNER,APi Group Corporation,EUR,Belgium,MAINTENANCE,Applicable,1,1,2025,10
iot-122,AERZEN BELGIUM,Aerzen Holding GmbH,EUR,Belgium,MAINTENANCE,Applicable,4,4,2025,10
iot-123,AERZENRENTAL BV,Aerzen Holding GmbH,EUR,Belgium,MAINTENANCE,Applicable,0,7,2025,10
iot-124,AETNA GROUP S.P.A,AETNA GROUP HOLDING,EUR,Belgium,MAINTENANCE,Applicable,16,20,2025,10
iot-125,AFT Plus Promotion Sales,GLOBAL SMOLLAN HOLDINGS,EUR,Austria,CUSTOMERS,Applicable,0,1,2025,10
iot-126,AGR Netherlands Coöperatie U.A.,AGR NETHERLANDS COÖPERATIE U A,EUR,Belgium,OTHER CONSUMABLES,Applicable,1,1,2025,10
iot-127,AIR PRODUCTS,"Air Products and Chemicals, Inc.",EUR,Belgium,BOTTLES,Applicable,1,4,2025,10
iot-128,AIR PRODUCTS,"Air Products and Chemicals, Inc.",EUR,Belgium,ENERGY & FLUIDS,Applicable,29,38,2025,10
iot-129,AIR PRODUCTS,"Air Products and Chemicals, Inc.",EUR,Belgium,KEGS,Applicable,3,10,2025,10
iot-130,AIR PRODUCTS,"Air Products and Chemicals, Inc.",EUR,Belgium,MAINTENANCE,Applicable,0,3,2025,10
iot-131,AIR PRODUCTS,"Air Products and Chemicals, Inc.",EUR,Belgium,OTHER CONSUMABLES,Applicable,3,5,2025,10
iot-132,AIR PRODUCTS,"Air Products and Chemicals, Inc.",EUR,Belgium,PALLETS,Applicable,4,9,2025,10
iot-133,AIR PRODUCTS NEDERLAND BV,AIR PRODUCTS AND CHEMICALS,EUR,The Netherlands,ENERGY & FLUIDS,Applicable,2,2,2025,10
iot-134,AJINOMOTO OMNICHEM,"AJINOMOTO CO., INC.",EUR,Belgium,OTHER AUXILIARIES,Applicable,2,2,2025,10
iot-135,ALEXANDRE,ALEXANDRE,EUR,Belgium,MAINTENANCE,Applicable,0,1,2025,10
iot-136,ALPAGRO PLASTICS,Alpala,EUR,Belgium,MARKETING,Applicable,0,1,2025,10
iot-137,ALPLA WAIDHOFEN,ALPLA PRIVATSTIFTUNG,EUR,Belgium,METAL CLOSURES,Applicable,4,4,2025,10
iot-138,ALPLA WAIDHOFEN,ALPLA PRIVATSTIFTUNG,EUR,The Netherlands,PET,Applicable,1,1,2025,10
iot-139,AMAZON EU SARL,"Amazon.com, Inc.",EUR,Belgium,LOGISTICS,Applicable,1,1,2025,10
iot-140,AMAZON EU SARL,"Amazon.com, Inc.",EUR,Germany,LOGISTICS,Applicable,12,12,2025,10
iot-141,AMAZON ONLINE ITALY SRL,"Amazon.com, Inc.",EUR,Italy,MARKETING,Applicable,1,1,2025,10
iot-142,AMBROGIO TRASPORTI S.P.A.,Wilpro Beheer B.V.,EUR,Belgium,LOGISTICS,Applicable,13,13,2025,10
iot-143,AMBROGIO TRASPORTI S.P.A.,Wilpro Beheer B.V.,EUR,The Netherlands,LOGISTICS,Applicable,7,7,2025,10
iot-144,ANKER AMSTERDAM SPIRIT BV,Stichting Administratiekantoor Sarabel Invest,EUR,The Netherlands,FINISHED PRODUCTS,Applicable,361,374,2025,10
iot-145,ANTON PAAR BELGIUM,SANTNER PRIVATSTIFTUNG,EUR,Belgium,MAINTENANCE,Applicable,22,24,2025,10
iot-146,ANTON PAAR BELGIUM,SANTNER PRIVATSTIFTUNG,EUR,Belgium,OTHER CONSUMABLES,Applicable,3,3,2025,10
iot-147,ANTON PAAR BELGIUM,SANTNER PRIVATSTIFTUNG,EUR,Luxembourg,MAINTENANCE,Applicable,1,1,2025,10
iot-148,APOLLO SERVICE,Casipo B.V.,EUR,United Kingdom,MAINTENANCE,Applicable,2,2,2025,10
iot-149,APOTHEEK TEMMERMAN,Temmerman,EUR,Belgium,PEOPLE,Applicable,1,1,2025,10
iot-150,APPELAERE BV,Stichting Administratiekantoor De Appelaere Holding,EUR,The Netherlands,CORRUGATED BOARD,Applicable,2,4,2025,10
iot-151,APPELAERE BV,Stichting Administratiekantoor De Appelaere Holding,EUR,The Netherlands,FINISHED PRODUCTS,Applicable,7,7,2025,10
iot-152,APPELAERE BV,Stichting Administratiekantoor De Appelaere Holding,EUR,The Netherlands,PALLETS,Applicable,6,8,2025,10
iot-153,APPELAERE BV,Stichting Administratiekantoor De Appelaere Holding,EUR,The Netherlands,PLASTIC CRATES,Applicable,1,1,2025,10
iot-154,ARBONED NV,HumanTouch Holding B.V.,EUR,The Netherlands,PEOPLE,Applicable,1,1,2025,10
iot-155,ARC INTERNATIONAL FRANCE SAS,ARC HOLDINGS,EUR,United Kingdom,SALES,Applicable,1,1,2025,10
iot-156,ARDAGH GLASS LTD,ARDAGH GROUP,EUR,United Kingdom,BOTTLES,Applicable,860,919,2025,10
iot-157,ARKANCE SYSTEMS BENELUX,MARSEILLAN,EUR,Belgium,TECHNOLOGY,Applicable,1,1,2025,10
iot-158,ARVAL BELGIUM,BNP PARIBAS,EUR,Belgium,LOGISTICS,Applicable,5,5,2025,10
iot-159,AS-MECHANICS,AS Mechanics,EUR,Belgium,MAINTENANCE,Applicable,5,5,2025,10
iot-160,ASERTI Electronic GmbH,PARQUEST CAPITAL,EUR,Germany,MAINTENANCE,Applicable,1,1,2025,10
iot-161,ASPLA,ARMANDO ALVAREZ SA,EUR,Belgium,FILMS,Applicable,2,2,2025,10
iot-162,ASTREA,ASTREA,EUR,Belgium,LEGAL,Applicable,7,7,2025,10
iot-163,ATELIER POLMANS,Polmans,EUR,Belgium,MAINTENANCE,Applicable,5,5,2025,10
iot-164,ATLAS COPC KOMPRESSOREN UND,Atlas Copco AB,EUR,Germany,MAINTENANCE,Applicable,3,3,2025,10
iot-165,ATMOSAFE,Atmosafe,EUR,Belgium,MAINTENANCE,Applicable,0,1,2025,10
iot-166,ATS LU,ETS ANTOINE,EUR,Luxembourg,BEER DISPENSE MATERIALS,Applicable,1,1,2025,10
iot-167,AXUS NV,SOCIETE GENERALE,EUR,Belgium,LOGISTICS,Applicable,6,6,2025,10
iot-168,AYANO Belgium nv,Ayano Group,EUR,Belgium,BOTTLES,Applicable,1,4,2025,10
iot-169,AYANO Belgium nv,Ayano Group,EUR,Belgium,OTHER PACKAGING,Applicable,1,1,2025,10
iot-170,AZO GmbH + Co.,Zimmermann GmbH & Co. KG,EUR,Germany,MAINTENANCE,Applicable,1,1,2025,10
iot-171,Aandrijftechniek Dinnissen Roe,Dinnissen Holding B.V.,EUR,The Netherlands,MAINTENANCE,Applicable,1,1,2025,10
iot-172,Aber Instruments Ltd,ABER INSTRUMENTS,EUR,Germany,MAINTENANCE,Applicable,10,11,2025,10
iot-173,Above & Beyond Event Mangement Ltd,ABOVE & BEYOND EVENT MANAGEMENT,EUR,United Kingdom,PEOPLE,Applicable,8,8,2025,10
iot-174,Abrechnungsorganisation für Leistun,FSA,EUR,Germany,WORKING AND SAFETY MATERIALS,Applicable,0,1,2025,10
iot-175,Accenture N.V.,ACCENTURE,EUR,Belgium,TECHNOLOGY,Applicable,1,2,2025,10
iot-176,Acor,ACOR,EUR,The Netherlands,LOGISTICS,Applicable,30,30,2025,10
iot-177,Acorn Clearprint Ltd,ACORN CLEARPRINT,EUR,United Kingdom,LABELS,Applicable,1,1,2025,10
iot-178,Acorn Recruitment Ltd,HB COLLECTOR,EUR,United Kingdom,PEOPLE,Applicable,212,212,2025,10
iot-179,Acros Organics B V B A,Thermo Fisher Scientific Inc.,EUR,Belgium,OTHER CONSUMABLES,Applicable,1,1,2025,10
iot-180,Adaptics scan@work,Prevermo Groep B.V.,EUR,The Netherlands,PEOPLE,Applicable,1,1,2025,10
iot-181,Adecco UK Ltd,ADECCO GROUP,EUR,United Kingdom,PEOPLE,Applicable,0,1,2025,10
iot-182,Adelholzener Alpenquellen GmbH,"Kongregation der Barmherzigen Schwestern vom heiligen Vinzenz von Paul, Mutterhaus München",EUR,Germany,FINISHED PRODUCTS,Applicable,135,180,2025,10
iot-183,Adelholzener Alpenquellen GmbH,"Kongregation der Barmherzigen Schwestern vom heiligen Vinzenz von Paul, Mutterhaus München",EUR,Germany,PALLETS,Applicable,108,109,2025,10
iot-184,Adolf Leber,Karoline Leber,EUR,Germany,MAINTENANCE,Applicable,3,3,2025,10
iot-185,Adolf Würth GmbH & Co. KG,Adolf Würth GmbH & Co. KG,EUR,Germany,MAINTENANCE,Applicable,6,6,2025,10
iot-186,Adolf Würth GmbH & Co. KG,Adolf Würth GmbH & Co. KG,EUR,Germany,OFFICE UTILITIES,Applicable,1,1,2025,10
iot-187,Adolf Würth GmbH & Co. KG,Adolf Würth GmbH & Co. KG,EUR,Germany,WORKING AND SAFETY MATERIALS,Applicable,1,1,2025,10
iot-188,Advanced Business Solutions Ltd,ASTON TOPCO LIMITED,EUR,United Kingdom,TECHNOLOGY,Applicable,0,1,2025,10
iot-189,Advanced Labelling Systems Ltd,POSSEHL-STIFTUNG,EUR,United Kingdom,OTHER CONSUMABLES,Applicable,6,6,2025,10
iot-190,Advanced Process Solutions Ltd,LAUREL FARM HOLDINGS LIMITED,EUR,United Kingdom,MAINTENANCE,Applicable,30,31,2025,10
iot-191,Advocate Benelux Field Marketing B.,Omnicom Group Inc.,EUR,Belgium,PEOPLE,Applicable,0,2,2025,10
iot-192,Aesseal Plc.,A E S ENGINEERING,EUR,United Kingdom,MAINTENANCE,Applicable,8,9,2025,10
iot-193,Aetna UK Ltd,AETNA GROUP HOLDING SPA,EUR,United Kingdom,MAINTENANCE,Applicable,8,8,2025,10
iot-194,Afsca,AFSCA,EUR,Belgium,OTHER CONSUMABLES,Applicable,1,1,2025,10
iot-195,Air Dryer Technology,SD POTTS HOLDINGS LIMITED,EUR,United Kingdom,MAINTENANCE,Applicable,1,1,2025,10
iot-196,Air Liquide Deutschland GmbH,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,EUR,Germany,ENERGY & FLUIDS,Applicable,0,1,2025,10
iot-197,Air Liquide Deutschland GmbH,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,EUR,Germany,MAINTENANCE,Applicable,2,6,2025,10
iot-198,Air Liquide Deutschland GmbH,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,EUR,Germany,OTHER CONSUMABLES,Applicable,1,1,2025,10
iot-199,Air Liquide UK Limited,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,EUR,United Kingdom,ENERGY & FLUIDS,Applicable,10,10,2025,10
iot-200,Air Liquide UK Limited,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,EUR,United Kingdom,LOGISTICS,Applicable,0,1,2025,10
iot-201,Air Liquide UK Limited,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,EUR,United Kingdom,MAINTENANCE,Applicable,0,2,2025,10
iot-202,Air Products,"Air Products and Chemicals, Inc.",EUR,Luxembourg,ENERGY & FLUIDS,Applicable,2,2,2025,10
iot-203,Air Products,"Air Products and Chemicals, Inc.",EUR,Luxembourg,MAINTENANCE,Applicable,1,1,2025,10
iot-204,Aire Global,AIRE GLOBAL GROUP LIMITED,EUR,Belgium,FOLDING CARTONS,Applicable,0,1,2025,10
iot-205,Aire Global,AIRE GLOBAL GROUP LIMITED,EUR,Belgium,LABELS,Applicable,2,4,2025,10
iot-206,Aire Global,AIRE GLOBAL GROUP LIMITED,EUR,Belgium,MARKETING,Applicable,7,10,2025,10
iot-207,Aire Global,AIRE GLOBAL GROUP LIMITED,EUR,France,MARKETING,Applicable,4,6,2025,10
iot-208,Aire Global,AIRE GLOBAL GROUP LIMITED,EUR,Germany,FOLDING CARTONS,Applicable,1,1,2025,10
iot-209,Aire Global,AIRE GLOBAL GROUP LIMITED,EUR,Germany,LABELS,Applicable,1,1,2025,10
iot-210,Aire Global,AIRE GLOBAL GROUP LIMITED,EUR,Germany,MARKETING,Applicable,11,12,2025,10
iot-211,Aire Global,AIRE GLOBAL GROUP LIMITED,EUR,Italy,MARKETING,Applicable,0,1,2025,10
